Symbol,Security,GICS Sector,GICS Sub-Industry
DLR,Digital Realty Trust,Real Estate,Specialized REITs
DFS,Discover Financial Services,Financials,Consumer Finance
DISCA,Discovery (Series A),Communication Services,Broadcasting
DISCK,Discovery (Series C),Communication Services,Broadcasting
DISH,Dish Network,Communication Services,Cable & Satellite
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
D,Dominion Energy,Utilities,Electric Utilities
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants
DOV,Dover Corporation,Industrials,Industrial Machinery
DOW,Dow,Materials,Commodity Chemicals
DTE,DTE Energy,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DRE,Duke Realty Corp,Real Estate,Industrial REITs
DD,DuPont,Materials,Specialty Chemicals
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
EMN,Eastman Chemical,Materials,Diversified Chemicals
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,Materials,Specialty Chemicals
EIX,Edison International,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment
ENPH,Enphase Energy,Information Technology,Electronic Components
ETR,Entergy,Utilities,Electric Utilities
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EFX,Equifax,Industrials,Research & Consulting Services
EQIX,Equinix,Real Estate,Specialized REITs
EQR,Equity Residential,Real Estate,Residential REITs
ESS,Essex Property Trust,Real Estate,Residential REITs
EL,Estée Lauder Companies,Consumer Staples,Personal Products
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
EVRG,Evergy,Utilities,Electric Utilities
ES,Eversource Energy,Utilities,Multi-Utilities
RE,Everest Re,Financials,Reinsurance
EXC,Exelon,Utilities,Multi-Utilities
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,Real Estate,Specialized REITs
XOM,ExxonMobil,Energy,Integrated Oil & Gas
FFIV,F5 Networks,Information Technology,Communications Equipment
FB,Facebook,Communication Services,Interactive Media & Services
FAST,Fastenal,Industrials,Building Products
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FedEx,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services
FITB,Fifth Third Bancorp,Financials,Regional Banks
FE,FirstEnergy,Utilities,Electric Utilities
FRC,First Republic Bank,Financials,Regional Banks
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
F,Ford,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,Information Technology,Systems Software
FTV,Fortive,Industrials,Industrial Machinery
FBHS,Fortune Brands Home & Security,Industrials,Building Products
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
GPS,Gap,Consumer Discretionary,Apparel Retail
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
IT,Gartner,Information Technology,IT Consulting & Other Services
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GILD,Gilead Sciences,Health Care,Biotechnology
GL,Globe Life,Financials,Life & Health Insurance
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
GWW,W. W. Grainger,Industrials,Industrial Machinery
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HBI,Hanesbrands,Consumer Discretionary,Apparel  Accessories & Luxury Goods
HIG,The Hartford,Financials,Property & Casualty Insurance
HAS,Hasbro,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,Health Care,Health Care Facilities
PEAK,Healthpeak Properties,Real Estate,Health Care REITs
HSIC,Henry Schein,Health Care,Health Care Distributors
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware  Storage & Peripherals
HLT,Hilton Worldwide,Consumer Discretionary,Hotels  Resorts & Cruise Lines
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,Honeywell,Industrials,Industrial Conglomerates
HRL,Hormel,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HP,Information Technology,Technology Hardware  Storage & Peripherals
HUM,Humana,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IEX,IDEX Corporation,Industrials,Industrial Machinery
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
INFO,IHS Markit,Industrials,Research & Consulting Services
ITW,Illinois Tool Works,Industrials,Industrial Machinery
ILMN,Illumina,Health Care,Life Sciences Tools & Services
INCY,Incyte,Health Care,Biotechnology
IR,Ingersoll Rand,Industrials,Industrial Machinery
INTC,Intel,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IBM,IBM,Information Technology,IT Consulting & Other Services
IP,International Paper,Materials,Paper Packaging
IPG,Interpublic Group,Communication Services,Advertising
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
INTU,Intuit,Information Technology,Application Software
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IVZ,Invesco,Financials,Asset Management & Custody Banks
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services
IQV,IQVIA,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain,Real Estate,Specialized REITs
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
J,Jacobs Engineering Group,Industrials,Construction & Engineering
JBHT,J. B. Hunt,Industrials,Trucking
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,Johnson Controls,Industrials,Building Products
JPM,JPMorgan Chase,Financials,Diversified Banks
JNPR,Juniper Networks,Information Technology,Communications Equipment
KSU,Kansas City Southern,Industrials,Railroads
K,Kellogg's,Consumer Staples,Packaged Foods & Meats
KEY,KeyCorp,Financials,Regional Banks
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,Retail REITs
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KR,Kroger,Consumer Staples,Food Retail
LHX,L3Harris Technologies,Industrials,Aerospace & Defense
LH,LabCorp,Health Care,Health Care Services
LRCX,Lam Research,Information Technology,Semiconductor Equipment
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
LDOS,Leidos,Industrials,Diversified Support Services
LEN,Lennar,Consumer Discretionary,Homebuilding
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals
LNC,Lincoln National,Financials,Multi-line Insurance
LIN,Linde,Materials,Industrial Gases
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMT,Lockheed Martin,Industrials,Aerospace & Defense
L,Loews Corporation,Financials,Multi-line Insurance
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LUMN,Lumen Technologies,Communication Services,Alternative Carriers
LYB,LyondellBasell,Materials,Specialty Chemicals
MTB,M&T Bank,Financials,Regional Banks
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Financials,Financial Exchanges & Data
MAR,Marriott International,Consumer Discretionary,Hotels  Resorts & Cruise Lines
MMC,Marsh & McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco,Industrials,Building Products
MA,Mastercard,Information Technology,Data Processing & Outsourced Services
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,McKesson Corporation,Health Care,Health Care Distributors
MDT,Medtronic,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
MET,MetLife,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft,Information Technology,Systems Software
MAA,Mid-America Apartments,Real Estate,Residential REITs
MRNA,Moderna,Health Care,Biotechnology
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,Monster Beverage,Consumer Staples,Soft Drinks
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,Information Technology,Communications Equipment
MSCI,MSCI,Financials,Financial Exchanges & Data
NDAQ,Nasdaq,Financials,Financial Exchanges & Data
NTAP,NetApp,Information Technology,Technology Hardware  Storage & Peripherals
NFLX,Netflix,Communication Services,Movies & Entertainment
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NEM,Newmont,Materials,Gold
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
NEE,NextEra Energy,Utilities,Multi-Utilities
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
NKE,Nike,Consumer Discretionary,Apparel  Accessories & Luxury Goods
NI,NiSource,Utilities,Multi-Utilities
NSC,Norfolk Southern,Industrials,Railroads
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NLOK,NortonLifeLock,Information Technology,Application Software
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels  Resorts & Cruise Lines
NOV,Nov,Energy,Oil & Gas Equipment & Services
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,Materials,Steel
NVDA,Nvidia,Information Technology,Semiconductors
NVR,NVR,Consumer Discretionary,Homebuilding
NXPI,NXP,Information Technology,Semiconductors
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion Freight Line,Industrials,Trucking
OMC,Omnicom Group,Communication Services,Advertising
OKE,Oneok,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle,Information Technology,Application Software
OGN,Organon & Co.,Health Care,Pharmaceuticals
OTIS,Otis Worldwide,Industrials,Industrial Machinery
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
PKG,Packaging Corporation of America,Materials,Paper Packaging
PH,Parker-Hannifin,Industrials,Industrial Machinery
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services
PAYC,Paycom,Information Technology,Application Software
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming
PNR,Pentair,Industrials,Industrial Machinery
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance
PEP,PepsiCo,Consumer Staples,Soft Drinks
PKI,PerkinElmer,Health Care,Health Care Equipment
PRGO,Perrigo,Health Care,Pharmaceuticals
PFE,Pfizer,Health Care,Pharmaceuticals
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Financials,Regional Banks
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL,Utilities,Electric Utilities
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PRU,Prudential Financial,Financials,Life & Health Insurance
PTC,PTC,Information Technology,Application Software
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PSA,Public Storage,Real Estate,Specialized REITs
PHM,PulteGroup,Consumer Discretionary,Homebuilding
PVH,PVH,Consumer Discretionary,Apparel  Accessories & Luxury Goods
QRVO,Qorvo,Information Technology,Semiconductors
PWR,Quanta Services,Industrials,Construction & Engineering
QCOM,Qualcomm,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Services
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel  Accessories & Luxury Goods
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
O,Realty Income Corporation,Real Estate,Retail REITs
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
RF,Regions Financial Corporation,Financials,Regional Banks
RSG,Republic Services,Industrials,Environmental & Facilities Services
RMD,ResMed,Health Care,Health Care Equipment
RHI,Robert Half International,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,Rollins,Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Industrials,Industrial Conglomerates
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels  Resorts & Cruise Lines
SPGI,S&P Global,Financials,Financial Exchanges & Data
CRM,Salesforce,Information Technology,Application Software
SBAC,SBA Communications,Real Estate,Specialized REITs
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology,Information Technology,Technology Hardware  Storage & Peripherals
SEE,Sealed Air,Materials,Paper Packaging
SRE,Sempra Energy,Utilities,Multi-Utilities
NOW,ServiceNow,Information Technology,Systems Software
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SPG,Simon Property Group,Real Estate,Retail REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SNA,Snap-on,Industrials,Industrial Machinery
SO,Southern Company,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Airlines
SWK,Stanley Black & Decker,Industrials,Industrial Machinery
SBUX,Starbucks,Consumer Discretionary,Restaurants
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STE,Steris,Health Care,Health Care Equipment
SYK,Stryker Corporation,Health Care,Health Care Equipment
SIVB,SVB Financial,Financials,Regional Banks
SYF,Synchrony Financial,Financials,Consumer Finance
SNPS,Synopsys,Information Technology,Application Software
SYY,Sysco,Consumer Staples,Food Distributors
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TPR,Tapestry,Consumer Discretionary,Apparel  Accessories & Luxury Goods
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TDY,Teledyne Technologies,Industrials,Aerospace & Defense
TFX,Teleflex,Health Care,Health Care Equipment
TER,Teradyne,Information Technology,Semiconductor Equipment
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
TT,Trane Technologies,Industrials,Building Products
TDG,TransDigm Group,Industrials,Aerospace & Defense
TRV,The Travelers Companies,Financials,Property & Casualty Insurance
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments
TFC,Truist Financial,Financials,Regional Banks
TWTR,Twitter,Communication Services,Interactive Media & Services
TYL,Tyler Technologies,Information Technology,Application Software
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
UDR,UDR,Real Estate,Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
USB,U.S. Bancorp,Financials,Diversified Banks
UAA,Under Armour (Class A),Consumer Discretionary,Apparel  Accessories & Luxury Goods
UA,Under Armour (Class C),Consumer Discretionary,Apparel  Accessories & Luxury Goods
UNP,Union Pacific,Industrials,Railroads
UAL,United Airlines,Industrials,Airlines
UNH,UnitedHealth Group,Health Care,Managed Health Care
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
UHS,Universal Health Services,Health Care,Health Care Facilities
UNM,Unum Group,Financials,Life & Health Insurance
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,Real Estate,Health Care REITs
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VFC,VF Corporation,Consumer Discretionary,Apparel  Accessories & Luxury Goods
VIAC,ViacomCBS,Communication Services,Movies & Entertainment
VTRS,Viatris,Health Care,Pharmaceuticals
V,Visa,Information Technology,Data Processing & Outsourced Services
VNO,Vornado Realty Trust,Real Estate,Office REITs
VMC,Vulcan Materials,Materials,Construction Materials
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment
WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,Western Digital,Information Technology,Technology Hardware  Storage & Peripherals
WU,Western Union,Information Technology,Data Processing & Outsourced Services
WRK,WestRock,Materials,Paper Packaging
WY,Weyerhaeuser,Real Estate,Specialized REITs
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,Utilities,Multi-Utilities
XLNX,Xilinx,Information Technology,Semiconductors
XYL,Xylem,Industrials,Industrial Machinery
YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
