Ticker,Name,Sector,GICS Sub-Industry
4716.T,ORACLE JAPAN CORP,Information Technology,
4732.T,USS LTD,Consumer Discretionary,
4739.T,ITOCHU TECHNO-SOLUTIONS CORP,Information Technology,
4751.T,CYBER AGENT INC,Communication,
4755.T,RAKUTEN GROUP INC,Consumer Discretionary,
4768.T,OTSUKA CORP,Information Technology,
4901.T,FUJIFILM HOLDINGS CORP,Information Technology,
4911.T,SHISEIDO LTD,Consumer Staples,
4912.T,LION CORP,Consumer Staples,
4922.T,KOSE CORP,Consumer Staples,
4927.T,POLA ORBIS HOLDINGS INC,Consumer Staples,
4967.T,KOBAYASHI PHARMACEUTICAL LTD,Consumer Staples,
5019.T,IDEMITSU KOSAN LTD,Energy,
5020.T,ENEOS HOLDINGS INC,Energy,
5108.T,BRIDGESTONE CORP,Consumer Discretionary,
5201.T,AGC INC,Industrials,
5332.T,TOTO LTD,Industrials,
5333.T,NGK INSULATORS LTD,Industrials,
5401.T,NIPPON STEEL CORP,Materials,
5411.T,JFE HOLDINGS INC,Materials,
5486.T,HITACHI METALS LTD,Materials,
5713.T,SUMITOMO METAL MINING LTD,Materials,
5802.T,SUMITOMO ELECTRIC INDUSTRIES LTD,Consumer Discretionary,
5938.T,LIXIL CORP,Industrials,
5947.T,RINNAI CORP,Consumer Discretionary,
6.HK,POWER ASSETS HOLDINGS LTD,Utilities,
6005.T,MIURA LTD,Industrials,
6098.T,RECRUIT HOLDINGS LTD,Industrials,
6146.T,DISCO CORP,Information Technology,
6178.T,JAPAN POST HOLDINGS LTD,Financials,
6201.T,TOYOTA INDUSTRIES CORP,Consumer Discretionary,
6268.T,NABTESCO CORP,Industrials,
6273.T,SMC (JAPAN) CORP,Industrials,
6301.T,KOMATSU LTD,Industrials,
6305.T,HITACHI CONSTRUCTION MACHINERY LTD,Industrials,
6324.T,HARMONIC DRIVE SYSTEMS INC,Industrials,
6326.T,KUBOTA CORP,Industrials,
6367.T,DAIKIN INDUSTRIES LTD,Industrials,
6370.T,KURITA WATER INDUSTRIES LTD,Industrials,
6383.T,DAIFUKU LTD,Industrials,
6448.T,BROTHER INDUSTRIES LTD,Information Technology,
6465.T,HOSHIZAKI CORP,Industrials,
6471.T,NSK LTD,Industrials,
6479.T,MINEBEA MITSUMI INC,Industrials,
6481.T,THK LTD,Industrials,
6501.T,HITACHI LTD,Industrials,
6502.T,TOSHIBA CORP,Industrials,
6503.T,MITSUBISHI ELECTRIC CORP,Industrials,
6504.T,FUJI ELECTRIC LTD,Industrials,
6506.T,YASKAWA ELECTRIC CORP,Industrials,
6586.T,MAKITA CORP,Industrials,
6594.T,NIDEC CORP,Industrials,
66.HK,MTR CORPORATION CORP LTD,Industrials,
6645.T,OMRON CORP,Information Technology,
669.HK,TECHTRONIC INDUSTRIES LTD,Industrials,
6701.T,NEC CORP,Information Technology,
6702.T,FUJITSU LTD,Information Technology,
6723.T,RENESAS ELECTRONICS CORP,Information Technology,
6724.T,SEIKO EPSON CORP,Information Technology,
6752.T,PANASONIC CORP,Consumer Discretionary,
6753.T,SHARP CORP,Consumer Discretionary,
6758.T,SONY GROUP CORP,Consumer Discretionary,
6762.T,TDK CORP,Information Technology,
6806.T,HIROSE ELECTRIC LTD,Information Technology,
6823.HK,HKT TRUST AND HKT UNITS LTD,Communication,
6841.T,YOKOGAWA ELECTRIC CORP,Information Technology,
6845.T,AZBIL CORP,Information Technology,
6857.T,ADVANTEST CORP,Information Technology,
6861.T,KEYENCE CORP,Information Technology,
6869.T,SYSMEX CORP,Health Care,
6902.T,DENSO CORP,Consumer Discretionary,
6920.T,LASERTEC CORP,Information Technology,
6923.T,STANLEY ELECTRIC LTD,Consumer Discretionary,
6952.T,CASIO COMPUTER LTD,Consumer Discretionary,
6954.T,FANUC CORP,Industrials,
6963.T,ROHM LTD,Information Technology,
6965.T,HAMAMATSU PHOTONICS,Information Technology,
6971.T,KYOCERA CORP,Information Technology,
6981.T,MURATA MANUFACTURING LTD,Information Technology,
6988.T,NITTO DENKO CORP,Materials,
7011.T,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,
7181.T,JAPAN POST INSURANCE LTD,Financials,
7182.T,JAPAN POST BANK LTD,Financials,
7186.T,CONCORDIA FINANCIAL GROUP LTD,Financials,
7201.T,NISSAN MOTOR LTD,Consumer Discretionary,
7202.T,ISUZU MOTORS LTD,Consumer Discretionary,
7203.T,TOYOTA MOTOR CORP,Consumer Discretionary,
7205.T,HINO MOTORS LTD,Industrials,
7259.T,AISIN CORP,Consumer Discretionary,
7261.T,MAZDA MOTOR CORP,Consumer Discretionary,
7267.T,HONDA MOTOR LTD,Consumer Discretionary,
7269.T,SUZUKI MOTOR CORP,Consumer Discretionary,
7270.T,SUBARU CORP,Consumer Discretionary,
7272.T,YAMAHA MOTOR LTD,Consumer Discretionary,
7276.T,KOITO MANUFACTURING LTD,Consumer Discretionary,
7309.T,SHIMANO INC,Consumer Discretionary,
7453.T,RYOHIN KEIKAKU LTD,Consumer Discretionary,
7459.T,MEDIPAL HOLDINGS CORP,Health Care,
7532.T,PAN PACIFIC INTERNATIONAL HOLDINGS,Consumer Discretionary,
7701.T,SHIMADZU CORP,Information Technology,
7733.T,OLYMPUS CORP,Health Care,
7741.T,HOYA CORP,Health Care,
7747.T,ASAHI INTECC LTD,Health Care,
7751.T,CANON INC,Information Technology,
7752.T,RICOH LTD,Information Technology,
7832.T,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary,
7911.T,TOPPAN PRINTING INC,Industrials,
7912.T,DAI NIPPON PRINTING LTD,Industrials,
7951.T,YAMAHA CORP,Consumer Discretionary,
7956.T,PIGEON CORP,Consumer Staples,
7974.T,NINTENDO LTD,Communication,
8001.T,ITOCHU CORP,Industrials,
8002.T,MARUBENI CORP,Industrials,
8015.T,TOYOTA TSUSHO CORP,Industrials,
8031.T,MITSUI LTD,Industrials,
8035.T,TOKYO ELECTRON LTD,Information Technology,
8053.T,SUMITOMO CORP,Industrials,
8058.T,MITSUBISHI CORP,Industrials,
8113.T,UNICHARM CORP,Consumer Staples,
0823.HK,LINK REAL ESTATE INVESTMENT TRUST,Real Estate,
8267.T,AEON LTD,Consumer Staples,
83.HK,SINO LAND LTD,Real Estate,
8306.T,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,
8308.T,RESONA HOLDINGS INC,Financials,
8309.T,SUMITOMO MITSUI TRUST HOLDINGS INC,Financials,
8316.T,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,
8331.T,CHIBA BANK LTD,Financials,
8355.T,SHIZUOKA BANK LTD,Financials,
8411.T,MIZUHO FINANCIAL GROUP INC,Financials,
8473.T,SBI HOLDINGS INC,Financials,
8591.T,ORIX CORP,Financials,
8593.T,MITSUBISHI HC CAPITAL INC,Financials,
8601.T,DAIWA SECURITIES GROUP INC,Financials,
8604.T,NOMURA HOLDINGS INC,Financials,
8630.T,SOMPO HOLDINGS INC,Financials,
868.HK,XINYI GLASS HOLDINGS LTD,Industrials,
8697.T,JAPAN EXCHANGE GROUP INC,Financials,
8725.T,MS&AD INSURANCE GROUP HOLDINGS INC,Financials,
8750.T,DAI-ICHI LIFE HOLDINGS INC,Financials,
8766.T,TOKIO MARINE HOLDINGS INC,Financials,
8795.T,T&D HOLDINGS INC,Financials,
880.HK,SJM HLDGS LTD,Consumer Discretionary,
8801.T,MITSUI FUDOSAN LTD,Real Estate,
8802.T,MITSUBISHI ESTATE CO LTD,Real Estate,
8830.T,SUMITOMO REALTY & DEVELOPMENT LTD,Real Estate,
8951.T,NIPPON BUILDING FUND REIT INC,Real Estate,
8952.T,JAPAN REAL ESTATE INVESTMENT TRUST,Real Estate,
8953.T,JAPAN METROPOLITAN FUND INVESTMENT,Real Estate,
8954.T,ORIX JREIT REIT INC,Real Estate,
8960.T,UNITED URBAN INVESTMENT REIT CORP,Real Estate,
8984.T,DAIWA HOUSE REIT CORP,Real Estate,
9001.T,TOBU RAILWAY LTD,Industrials,
9005.T,TOKYU CORP,Industrials,
9007.T,ODAKYU ELECTRIC RAILWAY LTD,Industrials,
9008.T,KEIO CORP,Industrials,
9009.T,KEISEI ELECTRIC RAILWAY LTD,Industrials,
9020.T,EAST JAPAN RAILWAY,Industrials,
9021.T,WEST JAPAN RAILWAY,Industrials,
9022.T,CENTRAL JAPAN RAILWAY,Industrials,
9041.T,KINTETSU GROUP HOLDINGS LTD,Industrials,
9042.T,HANKYU HANSHIN HOLDINGS INC,Industrials,
9062.T,NIPPON EXPRESS LTD,Industrials,
9064.T,YAMATO HOLDINGS LTD,Industrials,
9101.T,NIPPON YUSEN,Industrials,
9143.T,SG HOLDINGS LTD,Industrials,
9201.T,JAPAN AIRLINES LTD,Industrials,
9202.T,ANA HOLDINGS INC,Industrials,
9432.T,NIPPON TELEGRAPH AND TELEPHONE COR,Communication,
9433.T,KDDI CORP,Communication,
9434.T,SOFTBANK CORP,Communication,
9435.T,HIKARI TSUSHIN INC,Consumer Discretionary,
9501.T,TOKYO ELECTRIC POWER HOLDINGS INC,Utilities,
9502.T,CHUBU ELECTRIC POWER INC,Utilities,
9503.T,KANSAI ELECTRIC POWER INC,Utilities,
9506.T,TOHOKU ELECTRIC POWER INC,Utilities,
9531.T,TOKYO GAS LTD,Utilities,
9532.T,OSAKA GAS LTD,Utilities,
9533.T,TOHO GAS LTD,Utilities,
9602.T,TOHO (TOKYO) LTD,Communication,
9613.T,NTT DATA CORP,Information Technology,
9684.T,SQUARE ENIX HLDG LTD,Communication,
9697.T,CAPCOM LTD,Communication,
9719.T,SCSK CORP,Information Technology,
9735.T,SECOM LTD,Industrials,
9766.T,KONAMI HOLDINGS CORP,Communication,
9831.T,YAMADA HOLDINGS LTD,Consumer Discretionary,
9843.T,NITORI HOLDINGS LTD,Consumer Discretionary,
9962.T,MISUMI GROUP INC,Industrials,
9983.T,FAST RETAILING LTD,Consumer Discretionary,
9984.T,SOFTBANK GROUP CORP,Communication,
A,AGILENT TECHNOLOGIES INC,Health Care,
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TR,Real Estate,
AAL.L,ANGLO AMERICAN PLC,Materials,
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,
AAPL,APPLE INC,Information Technology,
ABBN.SW,ABB LTD,Industrials,
ABBV,ABBVIE INC,Health Care,
ABC,AMERISOURCEBERGEN CORP,Health Care,
ABDN.L,ABRDN PLC,Financials,
ABF.L,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,
ABI.BR,ANHEUSER BUSCH INBEV SA,Consumer Staples,
ABMD,ABIOMED INC,Health Care,
ABN.AS,ABN AMRO BANK NV,Financials,
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,
ABT,ABBOTT LABORATORIES,Health Care,
ABX.TO,BARRICK GOLD CORP,Materials,
AC.PA,ACCOR SA,Consumer Discretionary,
AC.TO,AIR CANADA VOTING AND VARIABLE VOT,Industrials,
ACA.PA,CREDIT AGRICOLE SA,Financials,
ACGL,ARCH CAPITAL GROUP LTD,Financials,
ACN,ACCENTURE PLC CLASS A,Information Technology,
ACO.X.TO,ATCO LTD CLASS I,Utilities,
ACS.MC,ACS ACTIVIDADES DE CONSTRUCCION Y,Industrials,
AD.AS,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,
ADBE,ADOBE INC,Information Technology,
ADE.OL,ADEVINTA,Communication,
ADEN.SW,ADECCO GROUP AG,Industrials,
ADI,ANALOG DEVICES INC,Information Technology,
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,
ADM.L,ADMIRAL GROUP PLC,Financials,
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,
ADP.PA,AEROPORTS DE PARIS SA,Industrials,
ADS.DE,ADIDAS N AG,Consumer Discretionary,
ADSK,AUTODESK INC,Information Technology,
ADYEN.AS,ADYEN NV,Information Technology,
AEE,AMEREN CORP,Utilities,
AEM.TO,AGNICO EAGLE MINES LTD,Materials,
AENA.MC,AENA SME SA,Industrials,
AEP,AMERICAN ELECTRIC POWER INC,Utilities,
AES,AES CORP,Utilities,
AFG,AMERICAN FINANCIAL GROUP INC,Financials,
AFL,AFLAC INC,Financials,
AFX.DE,CARL ZEISS MEDITEC AG,Health Care,
AGL.AX,AGL ENERGY LTD,Utilities,
AGN.AS,AEGON NV,Financials,
AGNC,AGNC INVESTMENT REIT CORP,Financials,
AGS.BR,AGEAS SA,Financials,
AHT.L,ASHTEAD GROUP PLC,Industrials,
AI.PA,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,
AIA.NZ,AUCKLAND INTERNATIONAL AIRPORT LTD,Industrials,
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,
AIR.AS,AIRBUS GROUP,Industrials,
AIZ,ASSURANT INC,Financials,
AJG,ARTHUR J GALLAGHER,Financials,
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,
AKE.PA,ARKEMA SA,Materials,
AKZA.AS,AKZO NOBEL NV,Materials,
ALA.TO,ALTAGAS LTD,Utilities,
ALB,ALBEMARLE CORP,Materials,
ALC.SW,ALCON AG,Health Care,
ALD.AX,AMPOL LTD,Energy,
ALFA.ST,ALFA LAVAL,Industrials,
ALGN,ALIGN TECHNOLOGY INC,Health Care,
ALL,ALLSTATE CORP,Financials,
ALL.AX,ARISTOCRAT LEISURE LTD,Consumer Discretionary,
ALLE,ALLEGION PLC,Industrials,
ALLY,ALLY FINANCIAL INC,Financials,
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,
ALO.PA,ALSTOM SA,Industrials,
ALV,AUTOLIV INC,Consumer Discretionary,
ALV.DE,ALLIANZ,Financials,
AM.PA,DASSAULT AVIATION SA,Industrials,
AMAT,APPLIED MATERIAL INC,Information Technology,
AMBU-B.CO,AMBU CLASS B,Health Care,
AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication,
AMCR,AMCOR PLC,Materials,
AMD,ADVANCED MICRO DEVICES INC,Information Technology,
AME,AMETEK INC,Industrials,
AMGN,AMGEN INC,Health Care,
AMP,AMERIPRISE FINANCE INC,Financials,
AMP.MI,AMPLIFON,Health Care,
AMS.MC,AMADEUS IT GROUP SA,Information Technology,
AMT,AMERICAN TOWER REIT CORP,Real Estate,
AMUN.PA,AMUNDI SA,Financials,
AMZN,AMAZON COM INC,Consumer Discretionary,
ANET,ARISTA NETWORKS INC,Information Technology,
ANSS,ANSYS INC,Information Technology,
ANTM,ANTHEM INC,Health Care,
ANTO.L,ANTOFAGASTA PLC,Materials,
ANZ.AX,AUSTRALIA AND NEW ZEALAND BANKING,Financials,
AON,AON PLC CLASS A,Financials,
AOS,A O SMITH CORP,Industrials,
APA.AX,APA GROUP UNITS,Utilities,
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,
APH,AMPHENOL CORP CLASS A,Information Technology,
APO,APOLLO GLOBAL MANAGEMENT INC CLASS,Financials,
APT.AX,AFTERPAY LTD,Information Technology,
APTV,APTIV PLC,Consumer Discretionary,
AQN.TO,ALGONQUIN POWER UTILITIES CORP,Utilities,
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,
ARGX.AS,ARGENX,Health Care,
ARMK,ARAMARK,Consumer Discretionary,
ARW,ARROW ELECTRONICS INC,Information Technology,
ASM.AS,ASM INTERNATIONAL NV,Information Technology,
ASML.AS,ASML HOLDING NV,Information Technology,
ASSA-B.ST,ASSA ABLOY B,Industrials,
AST.AX,AUSNET SERVICES,Utilities,
ASX.AX,ASX LTD,Financials,
AT1.DE,AROUNDTOWN SA,Real Estate,
ATCO-A.ST,ATLAS COPCO CLASS A,Industrials,
ATCO-B.ST,ATLAS COPCO CLASS B,Industrials,
ATD-B.TO,ALIMENTATION COUCHE TARD SUB VOTIN,Consumer Staples,
ATH,ATHENE HOLDING LTD CLASS A,Financials,
ATL.MI,ATLANTIA,Industrials,
ATM.NZ,THE A2 MILK COMPANY LTD,Consumer Staples,
ATO,ATMOS ENERGY CORP,Utilities,
ATO.PA,ATOS,Information Technology,
ATUS,ALTICE USA INC CLASS A,Communication,
ATVI,ACTIVISION BLIZZARD INC,Communication,
AUTO.L,AUTO TRADER GROUP PLC,Communication,
AV.L,AVIVA PLC,Financials,
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,
AVGO,BROADCOM INC,Information Technology,
AVLR,AVALARA INC,Information Technology,
AVTR,AVANTOR INC,Health Care,
AVV.L,AVEVA GROUP PLC,Information Technology,
AVY,AVERY DENNISON CORP,Materials,
AWK,AMERICAN WATER WORKS INC,Utilities,
AXP,AMERICAN EXPRESS,Financials,
AZJ.AX,AURIZON HOLDINGS LTD,Industrials,
AZN.L,ASTRAZENECA PLC,Health Care,
AZO,AUTOZONE INC,Consumer Discretionary,
AZRG.TA,AZRIELI GROUP LTD,Real Estate,
BA,BOEING,Industrials,
BA.L,BAE SYSTEMS PLC,Industrials,
BAC,BANK OF AMERICA CORP,Financials,
BAER.SW,JULIUS BAER GRUPPE AG,Financials,
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,
BALD-B.ST,FASTIGHETS BALDER B,Real Estate,
BALN.SW,BALOISE HOLDING AG,Financials,
BAM.A.TO,BROOKFIELD ASSET MANAGEMENT INC CL,Financials,
BARC.L,BARCLAYS PLC,Financials,
BARN.SW,BARRY CALLEBAUT AG,Consumer Staples,
BAS.DE,BASF N,Materials,
BATS.L,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,
BAX,BAXTER INTERNATIONAL INC,Health Care,
BAYN.DE,BAYER AG,Health Care,
BB.TO,BLACKBERRY LTD,Information Technology,
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,
BBY,BEST BUY INC,Consumer Discretionary,
BC8.DE,BECHTLE AG,Information Technology,
BCE.TO,BCE INC,Communication,
BCVN.SW,BC VAUD N,Financials,
BDEV.L,BARRATT DEVELOPMENTS,Consumer Discretionary,
BDX,BECTON DICKINSON,Health Care,
BEI.DE,BEIERSDORF AG,Consumer Staples,
BEN,FRANKLIN RESOURCES INC,Financials,
BEPC.TO,BROOKFIELD RENEWABLE SUBORDINATE V,Utilities,
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,
BG,BUNGE LTD,Consumer Staples,
BHC.TO,BAUSCH HEALTH COMPANIES INC,Health Care,
BHP.AX,BHP GROUP LTD,Materials,
BHP.L,BHP GROUP PLC,Materials,
BIIB,BIOGEN INC,Health Care,
BIM.PA,BIOMERIEUX SA,Health Care,
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,
BK,BANK OF NEW YORK MELLON CORP,Financials,
BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,
BKI,BLACK KNIGHT INC,Information Technology,
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,
BKR,BAKER HUGHES CLASS A,Energy,
BLDP.TO,BALLARD POWER SYSTEMS INC,Industrials,
BLK,BLACKROCK INC,Financials,
BLL,BALL CORP,Materials,
BLND.L,BRITISH LAND REIT PLC,Real Estate,
BMO.TO,BANK OF MONTREAL,Financials,
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,
BMW.DE,BMW AG,Consumer Discretionary,
BMW3.DE,BMW PREF AG,Consumer Discretionary,
BMY,BRISTOL MYERS SQUIBB,Health Care,
BN.PA,DANONE SA,Consumer Staples,
BN4.SI,KEPPEL LTD,Industrials,
BNP.PA,BNP PARIBAS SA,Financials,
BNR.DE,BRENNTAG,Industrials,
BNS.TO,BANK OF NOVA SCOTIA,Financials,
BNZL.L,BUNZL,Industrials,
BOL.PA,BOLLORE,Communication,
BOL.ST,BOLIDEN,Materials,
BP.L,BP PLC,Energy,
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Information Technology,
BRBY.L,BURBERRY GROUP PLC,Consumer Discretionary,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,
BRO,BROWN & BROWN INC,Financials,
BSL.AX,BLUESCOPE STEEL LTD,Materials,
BSX,BOSTON SCIENTIFIC CORP,Health Care,
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,
BT-A.L,BT GROUP PLC,Communication,
BTO.TO,B2GOLD CORP,Materials,
BURL,BURLINGTON STORES INC,Consumer Discretionary,
BVI.PA,BUREAU VERITAS SA,Industrials,
BWA,BORGWARNER INC,Consumer Discretionary,
BX,BLACKSTONE INC,Financials,
BXB.AX,BRAMBLES LTD,Industrials,
BXP,BOSTON PROPERTIES REIT INC,Real Estate,
C,CITIGROUP INC,Financials,
C38U.SI,CAPITALAND INTEGRATED COMMERCIAL T,Real Estate,
C6L.SI,SINGAPORE AIRLINES LTD,Industrials,
CA.PA,CARREFOUR SA,Consumer Staples,
CABK.MC,CAIXABANK SA,Financials,
CABO,CABLE ONE INC,Communication,
CAE.TO,CAE INC,Industrials,
CAG,CONAGRA BRANDS INC,Consumer Staples,
CAH,CARDINAL HEALTH INC,Health Care,
CAP.PA,CAPGEMINI,Information Technology,
CAR-UN.TO,CANADIAN APARTMENT PROPERTIES REAL,Real Estate,
CARL-B.CO,CARLSBERG AS CL B,Consumer Staples,
CARR,CARRIER GLOBAL CORP,Industrials,
CAT,CATERPILLAR INC,Industrials,
CB,CHUBB LTD,Financials,
CBA.AX,COMMONWEALTH BANK OF AUSTRALIA,Financials,
CBK.DE,COMMERZBANK AG,Financials,
CBOE,CBOE GLOBAL MARKETS INC,Financials,
