Date,Returns,Stock
2007-01-31,0.023031170550414037,AAPL
2007-02-28,-0.013064270331107464,AAPL
2007-03-31,0.0980969532587681,AAPL
2007-04-30,0.07415796570082578,AAPL
2007-05-31,0.21432847981334824,AAPL
2007-06-30,0.007013747471821041,AAPL
2007-07-31,0.07964605830672489,AAPL
2007-08-31,0.05100182459027458,AAPL
2007-09-30,0.10824665558906155,AAPL
2007-10-31,0.2377013543520965,AAPL
2007-11-30,-0.04069500137752036,AAPL
2007-12-31,0.0870377145656398,AAPL
2008-01-31,-0.31663972873022106,AAPL
2008-02-29,-0.0763889434758307,AAPL
2008-03-31,0.1478163493840985,AAPL
2008-04-30,0.21219512195121948,AAPL
2008-05-31,0.0850818511066398,AAPL
2008-06-30,-0.11290060585328343,AAPL
2008-07-31,-0.050704682274247626,AAPL
2008-08-31,0.06656178337531138,AAPL
2008-09-30,-0.32955815892035256,AAPL
2008-10-31,-0.053404958408941994,AAPL
2008-11-30,-0.13867456083279117,AAPL
2008-12-31,-0.07899009047199346,AAPL
2009-01-31,0.056004926163320645,AAPL
2009-02-28,-0.009098057148821947,AAPL
2009-03-31,0.17702388637223665,AAPL
2009-04-30,0.1970129606535036,AAPL
2009-05-31,0.0793132245747541,AAPL
2009-06-30,0.04874465941372974,AAPL
2009-07-31,0.14715991590760846,AAPL
2009-08-31,0.029499994601872803,AAPL
2009-09-30,0.10189646275488973,AAPL
2009-10-31,0.01699487419487733,AAPL
2009-11-30,0.06053050269431304,AAPL
2009-12-31,0.054124274841192976,AAPL
2010-01-31,-0.08859669274977611,AAPL
2010-02-28,0.06539616514022017,AAPL
2010-03-31,0.14847033815795774,AAPL
2010-04-30,0.11102131252802239,AAPL
2010-05-31,-0.0161246923876871,AAPL
2010-06-30,-0.020826906856838745,AAPL
2010-07-31,0.02274085867263098,AAPL
2010-08-31,-0.05500484353741497,AAPL
2010-09-30,0.16721516796026048,AAPL
2010-10-31,0.06072245029543821,AAPL
2010-11-30,0.033789593094834425,AAPL
2010-12-31,0.036670416197975175,AAPL
2011-01-31,0.0519592881944444,AAPL
2011-02-28,0.040934859398851664,AAPL
2011-03-31,-0.013306520049754855,AAPL
2011-04-30,0.004648348577697137,AAPL
2011-05-31,-0.006569000010636095,AAPL
2011-06-30,-0.034959629704165884,AAPL
2011-07-31,0.16328537345095784,AAPL
2011-08-31,-0.014469320107955874,AAPL
2011-09-30,-0.009120972612707834,AAPL
2011-10-31,0.06152319505475279,AAPL
2011-11-30,-0.055783416499330496,AAPL
2011-12-31,0.05965465201465192,AAPL
2012-01-31,0.12711100983484425,AAPL
2012-02-29,0.1883105634988127,AAPL
2012-03-31,0.10528359886637273,AAPL
2012-04-30,-0.025969503794512572,AAPL
2012-05-31,-0.010702359963077113,AAPL
2012-06-30,0.010852792451394588,AAPL
2012-07-31,0.04582190379574036,AAPL
2012-08-31,0.08920037388958257,AAPL
2012-09-30,0.002796001375840129,AAPL
2012-10-31,-0.10760007942916772,AAPL
2012-11-30,-0.016864905928947627,AAPL
2012-12-31,-0.0907429065797083,AAPL
2013-01-31,-0.14408927547413664,AAPL
2013-02-28,-0.03093370216689706,AAPL
2013-03-31,0.002854553641059354,AAPL
2013-04-30,2.7104323370452654e-4,AAPL
2013-05-31,0.015696391409631527,AAPL
2013-06-30,-0.1182932509315433,AAPL
2013-07-31,0.1412250545234901,AAPL
2013-08-31,0.07665799291353048,AAPL
2013-09-30,-0.02148923190799934,AAPL
2013-10-31,0.09638160153175113,AAPL
2013-11-30,0.0638417180848192,AAPL
2013-12-31,0.008901670140713636,AAPL
2014-01-31,-0.10769669124656345,AAPL
2014-02-28,0.05121863486740641,AAPL
2014-03-31,0.019952871848769815,AAPL
2014-04-30,0.0993962373248416,AAPL
